2013,70,BIH,26,"Ores, slag and ash",40304689
2013,76,BRA,26,"Ores, slag and ash",35082512117
2013,96,BRN,26,"Ores, slag and ash",75180
2013,100,BGR,26,"Ores, slag and ash",741612810
2013,104,MMR,26,"Ores, slag and ash",23759525
2013,112,BLR,26,"Ores, slag and ash",3097500
2013,124,CAN,26,"Ores, slag and ash",8432113295
2013,144,LKA,26,"Ores, slag and ash",7142539
2013,152,CHL,26,"Ores, slag and ash",19441467830
2013,156,CHN,26,"Ores, slag and ash",378872619
2013,170,COL,26,"Ores, slag and ash",12607492
2013,178,COG,26,"Ores, slag and ash",493096
2013,188,CRI,26,"Ores, slag and ash",123407
2013,191,HRV,26,"Ores, slag and ash",10099748
2013,196,CYP,26,"Ores, slag and ash",199217.7
2013,203,CZE,26,"Ores, slag and ash",25395663
2013,208,DNK,26,"Ores, slag and ash",15190350
2013,212,DMA,26,"Ores, slag and ash",333.333
2013,214,DOM,26,"Ores, slag and ash",100622492
2013,108,BDI,26,"Ores, slag and ash",6528202
2013,90,SLB,26,"Ores, slag and ash",519186.413
2013,72,BWA,26,"Ores, slag and ash",128392567.3
2013,68,BOL,26,"Ores, slag and ash",1924609309
2013,56,BEL,26,"Ores, slag and ash",306734634.3
2013,52,BRB,26,"Ores, slag and ash",4197
2013,51,ARM,26,"Ores, slag and ash",303604933
2013,50,BGD,26,"Ores, slag and ash",18157558
2013,48,BHR,26,"Ores, slag and ash",612969078
2013,44,BHS,26,"Ores, slag and ash",432
2013,40,AUT,26,"Ores, slag and ash",41259100
2013,36,AUS,26,"Ores, slag and ash",81015413674
2013,32,ARG,26,"Ores, slag and ash",1361145137
2013,31,AZE,26,"Ores, slag and ash",16982693
2013,20,AND,26,"Ores, slag and ash",4111.474
2013,12,DZA,26,"Ores, slag and ash",3142770
2013,8,ALB,26,"Ores, slag and ash",142657352
2013,218,ECU,26,"Ores, slag and ash",75162518
2013,222,SLV,26,"Ores, slag and ash",1277366.34
2013,231,ETH,26,"Ores, slag and ash",2015196.115
2013,233,EST,26,"Ores, slag and ash",7678526
2013,242,FJI,26,"Ores, slag and ash",9417931
2013,246,FIN,26,"Ores, slag and ash",239836163
2013,251,FRA,26,"Ores, slag and ash",382887874
2013,266,GAB,26,"Ores, slag and ash",180645806.5
2013,268,GEO,26,"Ores, slag and ash",164258445
2013,275,PSE,26,"Ores, slag and ash",73314
2013,276,DEU,26,"Ores, slag and ash",448015136.6
2013,288,GHA,26,"Ores, slag and ash",176534323
2013,300,GRC,26,"Ores, slag and ash",63819290
2013,320,GTM,26,"Ores, slag and ash",511645168
2013,324,GIN,26,"Ores, slag and ash",459219683
2013,328,GUY,26,"Ores, slag and ash",133361485
2013,344,HKG,26,"Ores, slag and ash",36647857
2013,348,HUN,26,"Ores, slag and ash",9911325
2013,352,ISL,26,"Ores, slag and ash",88098
2013,360,IDN,26,"Ores, slag and ash",6544111736
2013,364,IRN,26,"Ores, slag and ash",1748613857
2013,372,IRL,26,"Ores, slag and ash",489645671.4
2013,376,ISR,26,"Ores, slag and ash",3123000
2013,380,ITA,26,"Ores, slag and ash",290079641
2013,384,CIV,26,"Ores, slag and ash",20155497.43
2013,388,JAM,26,"Ores, slag and ash",129395572
2013,392,JPN,26,"Ores, slag and ash",136201078
2013,398,KAZ,26,"Ores, slag and ash",2729550161
2013,400,JOR,26,"Ores, slag and ash",345956
2013,404,KEN,26,"Ores, slag and ash",4043268
2013,410,KOR,26,"Ores, slag and ash",161401065
2013,414,KWT,26,"Ores, slag and ash",151990
2013,417,KGZ,26,"Ores, slag and ash",18488007
2013,418,LAO,26,"Ores, slag and ash",695550490
2013,422,LBN,26,"Ores, slag and ash",191537
2013,428,LVA,26,"Ores, slag and ash",1505266
2013,440,LTU,26,"Ores, slag and ash",1489410
2013,442,LUX,26,"Ores, slag and ash",10509345
2013,450,MDG,26,"Ores, slag and ash",105484540.6
2013,454,MWI,26,"Ores, slag and ash",135072905.4
2013,458,MYS,26,"Ores, slag and ash",686230888
2013,470,MLT,26,"Ores, slag and ash",33561
2013,478,MRT,26,"Ores, slag and ash",1572740056
2013,480,MUS,26,"Ores, slag and ash",47750
2013,484,MEX,26,"Ores, slag and ash",4011203340
2013,490,S19,26,"Ores, slag and ash",152164842
2013,496,MNG,26,"Ores, slag and ash",1761242556
2013,499,MNE,26,"Ores, slag and ash",12617272
2013,504,MAR,26,"Ores, slag and ash",240260539
2013,508,MOZ,26,"Ores, slag and ash",157885065
2013,512,OMN,26,"Ores, slag and ash",1369713388
2013,516,NAM,26,"Ores, slag and ash",968373269
2013,524,NPL,26,"Ores, slag and ash",110802
2013,528,NLD,26,"Ores, slag and ash",1158444581
2013,540,NCL,26,"Ores, slag and ash",195341618
2013,554,NZL,26,"Ores, slag and ash",79108980.38
2013,558,NIC,26,"Ores, slag and ash",79252
2013,562,NER,26,"Ores, slag and ash",659383108
2013,566,NGA,26,"Ores, slag and ash",64228211
2013,579,NOR,26,"Ores, slag and ash",478217586
2013,586,PAK,26,"Ores, slag and ash",135510312
2013,591,PAN,26,"Ores, slag and ash",48557
2013,600,PRY,26,"Ores, slag and ash",45328
2013,604,PER,26,"Ores, slag and ash",11516606290
2013,608,PHL,26,"Ores, slag and ash",2324774440
2013,616,POL,26,"Ores, slag and ash",59483109
2013,620,PRT,26,"Ores, slag and ash",590922684
2013,634,QAT,26,"Ores, slag and ash",5280962.502
2013,642,ROU,26,"Ores, slag and ash",82314113
2013,643,RUS,26,"Ores, slag and ash",3615686763
