year,country_code,country_code_letter,dollar_value,HDI_value,population
2013,533,ABW,1362.0,,105675
2014,533,ABW,11244.0,,106807
2016,533,ABW,620102.47,,108727
2017,533,ABW,251573.735,,108735
2018,533,ABW,315.642,,108908
2019,533,ABW,731.285,,109203
2020,533,ABW,563.128,,108587
2021,533,ABW,32073.184,,
2022,533,ABW,39857.541,,
2023,533,ABW,11284.916,,
2015,4,AFG,45161.0,0.479,33831764
2016,4,AFG,33894919.0,0.483,34700612
2017,4,AFG,1628894.78,0.485,35688935
2018,4,AFG,8968750.97,0.486,36743039
2019,4,AFG,8780682.05,0.492,37856121
2015,24,AGO,17154940.42,0.591,28157798
2016,24,AGO,728599.77,0.595,29183070
2017,24,AGO,17992.24,0.597,30234839
2018,24,AGO,375799.45,0.598,31297155
2019,24,AGO,2155134.101,0.597,32375632
2020,24,AGO,336305.786,0.594,33451132
2021,24,AGO,48701.778,0.59,
2022,24,AGO,194006.533,0.591,
2023,24,AGO,313757.848,,
2013,8,ALB,96542.0,0.793,2895092
2014,8,ALB,33896.0,0.797,2889104
2015,8,ALB,57684.0,0.797,2880703
2016,8,ALB,253855.0,0.795,2876101
2017,8,ALB,214034.903,0.796,2873457
2018,8,ALB,82716.34,0.797,2866376
2019,8,ALB,345774.835,0.8,2854191
2020,8,ALB,196974.689,0.784,2837849
2021,8,ALB,57325.072,0.785,
2022,8,ALB,2037348.462,0.789,
2023,8,ALB,256605.466,,
2016,20,AND,11.069,0.859,72181
2013,784,ARE,219395589.2,0.847,7693031
2014,784,ARE,231891984.3,0.853,8059440
2015,784,ARE,517311568.9,0.86,8505237
2016,784,ARE,515424920.1,0.866,8935095
2017,784,ARE,336954791.9,0.898,9223225
2018,784,ARE,344061665.0,0.917,9346701
2019,784,ARE,167170888.2,0.933,9445785
2020,784,ARE,134968900.2,0.93,9401038
2021,784,ARE,140663976.0,0.931,
2022,784,ARE,252644810.2,0.937,
2023,784,ARE,140212808.7,,
2013,32,ARG,8312032969.0,0.846,42582455
2014,32,ARG,5237135904.0,0.847,43024071
2015,32,ARG,4842054200.0,0.85,43477012
2016,32,ARG,6975858500.0,0.848,43900313
2017,32,ARG,6966154278.0,0.853,44288894
2018,32,ARG,7537978796.0,0.852,44654882
2019,32,ARG,9314415388.0,0.853,44973465
2020,32,ARG,8970133975.0,0.841,45191965
2021,32,ARG,12795446484.0,0.844,
2022,32,ARG,15462254300.0,0.849,
2023,32,ARG,8618150421.0,,
2014,51,ARM,83872.0,0.764,3013800
2015,51,ARM,194578.0,0.769,3004600
2016,51,ARM,5849.0,0.773,2992300
2017,51,ARM,18536.22,0.775,2979400
2018,51,ARM,5348.15,0.781,2969000
2019,51,ARM,13039.78,0.789,2962500
2020,51,ARM,40053.76,0.769,2961500
2021,51,ARM,601415.35,0.774,
2022,51,ARM,746263.87,0.786,
2023,51,ARM,92882.8,,
2016,28,ATG,3430.0,0.822,89969
2017,28,ATG,123.955,0.824,90468
2019,28,ATG,263.041,0.831,91364
2020,28,ATG,240.741,0.82,91846
2013,36,AUS,8047797639.0,0.929,23128129
2014,36,AUS,7427763727.0,0.931,23475686
2015,36,AUS,6427636896.0,0.933,23815995
2016,36,AUS,5097736255.0,0.936,24190907
2017,36,AUS,6548039774.0,0.937,24592588
2018,36,AUS,4813941893.0,0.941,24963258
2019,36,AUS,3405159335.0,0.941,25334826
2020,36,AUS,3751740937.0,0.948,25649248
2021,36,AUS,9825745282.0,0.949,
2022,36,AUS,13499420170.0,0.946,
2023,36,AUS,12863411422.0,,
2013,40,AUT,512666793.0,0.907,8479823
2014,40,AUT,540749678.0,0.911,8546356
2015,40,AUT,409609075.0,0.91,8642699
2016,40,AUT,416298360.8,0.913,8736668
2017,40,AUT,450682204.5,0.914,8797566
2018,40,AUT,433118479.5,0.917,8840521
2019,40,AUT,466841023.6,0.92,8879920
2020,40,AUT,528509108.1,0.916,8916864
2021,40,AUT,599202159.6,0.92,
2022,40,AUT,708493415.0,0.926,
2023,40,AUT,675944966.9,,
2013,31,AZE,10577.0,0.745,9416801
2014,31,AZE,20477.0,0.749,9535079
2015,31,AZE,61264.38,0.751,9649341
2016,31,AZE,2618718.72,0.752,9757812
2017,31,AZE,11941.07,0.754,9854033
2018,31,AZE,7802757.21,0.757,9939771
2019,31,AZE,3038098.37,0.762,10024283
2020,31,AZE,35356.89,0.722,10093121
2021,31,AZE,9842050.56,0.738,
2022,31,AZE,3724340.88,0.76,
2023,31,AZE,454346.35,,
2013,108,BDI,616.0,0.416,10439341
2014,108,BDI,179597.0,0.419,10799785
2015,108,BDI,16118.0,0.42,11047580
2016,108,BDI,2416.0,0.423,11239451
2018,108,BDI,197435.818,0.421,11859446
2019,108,BDI,6413.089,0.423,12255336
2020,108,BDI,3039.088,0.419,12617036
2021,108,BDI,2363.29,0.419,
2022,108,BDI,2688.32,0.42,
2013,56,BEL,566317789.6,0.917,11159407
