year,country_code,country_code_letter,dollar_value,HDI_value,population
2013,792,TUR,1202387659.0,0.802,76147624
2013,800,UGA,3542386.0,0.511,35337042
2013,804,UKR,1744303013.0,0.774,46126770
2013,807,MKD,11597141.0,0.763,1922716
2013,818,EGY,488870480.0,0.684,95333553
2013,826,GBR,3998242496.0,0.923,64139000
2013,834,TZA,3327135.0,0.504,48824128
2013,842,USA,12435825208.0,0.922,316726282
2013,854,BFA,438008.441,0.399,17695409
2013,858,URY,26257256.0,0.802,3345337
2013,862,VEN,132583539.0,0.771,29912198
2013,882,WSM,6862.0,0.704,198268
2013,887,YEM,612051.0,0.496,29312952
2013,894,ZMB,506579048.9,0.554,15398997
2014,8,ALB,795407.0,0.797,2889104
2014,12,DZA,634907125.0,0.732,39205031
2014,20,AND,1112.07,0.854,73737
2014,28,ATG,33670.0,0.815,88765
2014,31,AZE,6979792.0,0.749,9535079
2014,32,ARG,330028784.4,0.847,43024071
2014,36,AUS,5824191498.0,0.931,23475686
2014,40,AUT,1019473774.0,0.911,8546356
2014,44,BHS,753629.0,0.807,382298
2014,48,BHR,118326752.0,0.839,1314562
2014,51,ARM,409497.0,0.764,3013800
2014,52,BRB,83798.0,0.795,278348
2014,56,BEL,3208763113.0,0.922,11209057
2014,60,BMU,6069.0,,63529
2014,68,BOL,39856523.85,0.683,10848888
2014,70,BIH,268194334.0,0.751,3564829
2014,72,BWA,37673015.04,0.683,2172044
2014,76,BRA,3346863098.0,0.753,200085127
2014,84,BLZ,8679.0,0.716,348923
2014,90,SLB,96260.787,0.562,616908
2014,96,BRN,1191697.0,0.834,416750
2014,100,BGR,298594993.0,0.807,7073572
2014,104,MMR,1110914.04,0.548,50681634
2014,108,BDI,55514.0,0.419,10799785
2014,112,BLR,34926800.0,0.81,9448515
2014,120,CMR,46938212.0,0.553,22059893
2014,124,CAN,4079196614.0,0.925,35434066
2014,144,LKA,12219003.0,0.757,20778000
2014,152,CHL,1526438304.0,0.841,17864195
2014,156,CHN,15026000882.0,0.732,1371860000
2014,170,COL,136499490.0,0.755,46565429
2014,174,COM,1191.191,0.551,711503
2014,178,COG,331312.432,0.609,4975880
2014,188,CRI,13599397.0,0.79,4767119
2014,191,HRV,35238055.0,0.842,4201598
2014,196,CYP,239324.141,0.867,1201801
2014,203,CZE,554862551.0,0.889,10525347
2014,204,BEN,316869.0,0.506,11030004
2014,208,DNK,149742971.0,0.932,5643475
2014,214,DOM,24279665.18,0.728,10315528
2014,218,ECU,1635649.0,0.759,16035124
2014,222,SLV,5690629.66,0.663,6162955
2014,231,ETH,216901.847,0.445,101115610
2014,233,EST,102804988.0,0.879,1314545
2014,242,FJI,435752.0,0.715,917585
2014,246,FIN,801051775.0,0.928,5461512
2014,251,FRA,4244233290.0,0.892,66312067
2014,258,PYF,5145.0,,276387
2014,266,GAB,2029855.367,0.687,1978399
2014,268,GEO,18529970.95,0.793,3719414
2014,270,GMB,3593.542,0.462,2164528
2014,275,PSE,80539.0,0.698,4173398
2014,276,DEU,9792366512.0,0.942,80982500
2014,288,GHA,17261304.62,0.582,28041592
2014,296,KIR,9.027,0.612,115326
2014,300,GRC,165119399.0,0.879,10892413
2014,308,GRD,3996.663,0.783,114132
2014,320,GTM,27881409.0,0.64,15681725
2014,324,GIN,2477.0,0.436,11472924
2014,328,GUY,56045.0,0.682,754229
2014,340,HND,54550295.0,0.603,9063122
2014,344,HKG,590242623.0,0.932,7229500
2014,348,HUN,523446101.0,0.84,9833038
2014,352,ISL,5391629.0,0.946,327386
2014,360,IDN,473587967.0,0.69,258877399
2014,364,IRN,637602921.0,0.783,81502045
2014,368,IRQ,224540.0,0.651,36550059
2014,372,IRL,821010299.4,0.918,4657740
2014,376,ISR,1096864000.0,0.899,8215700
2014,380,ITA,2260937453.0,0.882,60320707
2014,384,CIV,8876881.266,0.499,24527395
2014,388,JAM,540263005.8,0.714,2793749
2014,392,JPN,3822673097.0,0.91,127276000
2014,398,KAZ,2839228906.0,0.794,17816285
2014,400,JOR,412170637.0,0.737,8791710
2014,410,KOR,3673296213.0,0.906,50746659
2014,414,KWT,28201869.0,0.816,3665876
2014,417,KGZ,1450594.0,0.686,5905848
2014,418,LAO,60972438.0,0.597,6703172
2014,422,LBN,49222267.0,0.755,6346990
2014,426,LSO,729.038,0.5,2080089
2014,428,LVA,9480543.737,0.85,1993782
2014,440,LTU,154957403.0,0.864,2937253
2014,442,LUX,2466284.0,0.927,556319
2014,450,MDG,4412684.379,0.497,24764348
2014,454,MWI,179089.443,0.493,16621538
2014,458,MYS,653962538.0,0.787,30696137
2014,470,MLT,1831922.0,0.881,433481
2014,480,MUS,1504839.0,0.788,1261208
2014,484,MEX,957024117.0,0.765,119784261
2014,490,S19,1732335030.0,,
2014,496,MNG,1215.0,0.735,2963113
2014,498,MDA,220974.0,0.749,2857815
2014,499,MNE,50084.0,0.822,623744
2014,500,MSR,185.0,,
2014,504,MAR,1543439972.0,0.645,34204780
2014,508,MOZ,2676920.0,0.438,25788475
2014,512,OMN,37528072.05,0.818,4002439
2014,516,NAM,7804373.0,0.619,2312139
2014,524,NPL,476726.0,0.567,27672370
2014,528,NLD,4352365796.0,0.931,16865008
2014,533,ABW,33598.0,,106807
2014,540,NCL,139720571.0,,281224
2014,554,NZL,14360701.91,0.931,4516500
2014,558,NIC,1958502.0,0.638,6066492
2014,562,NER,1783.0,0.363,19215909
2014,566,NGA,4275488.0,0.513,185896915
2014,579,NOR,729151967.0,0.949,5137232
2014,585,PLW,1900.0,0.777,17715
2014,586,PAK,28145392.0,0.519,214264647
2014,591,PAN,6091472.0,0.797,3892101
2014,600,PRY,1622176.0,0.731,6069811
2014,604,PER,271000074.9,0.754,30115826
2014,608,PHL,348481502.0,0.693,103767130
2014,616,POL,993610728.0,0.867,38011735
2014,620,PRT,67827601.0,0.847,10401062
2014,634,QAT,978391731.0,0.85,2151745
2014,642,ROU,244598516.0,0.811,19908979
2014,643,RUS,5130821000.0,0.818,144237223
2014,646,RWA,83479.261,0.507,11364757
2014,659,KNA,7376.0,0.827,47089
2014,662,LCA,21097.0,0.727,174138
2014,670,VCT,62.5,0.772,107535
2014,682,SAU,2434736981.0,0.836,28309273
2014,686,SEN,108587857.0,0.501,14152102
2014,688,SRB,25625529.0,0.787,7131787
2014,690,SYC,1824.048,0.796,91359
2014,694,SLE,13.0,0.447,6876385
2014,699,IND,1429430120.0,0.611,1312277191
2014,702,SGP,443182680.9,0.932,5469724
2014,703,SVK,163409577.9,0.851,5418649
2014,704,VNM,745300370.0,0.693,91679578
2014,705,SVN,157563347.0,0.903,2061980
2014,710,ZAF,909772953.2,0.714,55594838
2014,716,ZWE,2292287.04,0.539,14207359
2014,724,ESP,1459829865.0,0.884,46460733
2014,729,SDN,32822.62,0.511,38823318
2014,740,SUR,104427.0,0.701,575373
2014,748,SWZ,7665093.618,0.56,1136299
2014,752,SWE,483786928.6,0.935,9696110
2014,757,CHE,598776033.4,0.951,8188649
2014,764,THA,716242036.0,0.785,70216367
2014,768,TGO,287476.142,0.502,7472450
2014,776,TON,4234.0,0.721,106609
2014,780,TTO,1847006264.0,0.806,1345343
2014,784,ARE,94028602.06,0.853,8059440
2014,788,TUN,510648484.0,0.721,11274288
2014,792,TUR,1337664501.0,0.812,77181884
2014,800,UGA,2876694.0,0.518,36395539
2014,804,UKR,1178241226.0,0.774,45972380
2014,807,MKD,10501280.0,0.769,1917557
2014,818,EGY,418715879.0,0.688,97528654
2014,826,GBR,1478843854.0,0.924,64620000
2014,834,TZA,4860820.0,0.506,50351512
2014,842,USA,12665077658.0,0.923,319257560
2014,854,BFA,415059.131,0.403,18229461
2014,858,URY,25907473.0,0.805,3356334
