year,country_code,country_code_letter,dollar_value,HDI_value,population
2013,862,VEN,266293021.0,0.771,29912198
2013,882,WSM,86.0,0.704,198268
2013,887,YEM,50005.0,0.496,29312952
2013,894,ZMB,94113870.94,0.554,15398997
2014,8,ALB,117073710.0,0.797,2889104
2014,12,DZA,2753385.0,0.732,39205031
2014,20,AND,6505.66,0.854,73737
2014,31,AZE,7151302.0,0.749,9535079
2014,32,ARG,1250168473.0,0.847,43024071
2014,36,AUS,73362619313.0,0.931,23475686
2014,40,AUT,28187344.0,0.911,8546356
2014,48,BHR,598309333.0,0.839,1314562
2014,51,ARM,291178484.0,0.764,3013800
2014,52,BRB,15251.0,0.795,278348
2014,56,BEL,298357516.7,0.922,11209057
2014,68,BOL,1992694100.0,0.683,10848888
2014,70,BIH,35854264.0,0.751,3564829
2014,72,BWA,134165773.6,0.683,2172044
2014,76,BRA,28402213499.0,0.753,200085127
2014,90,SLB,870503.521,0.562,616908
2014,96,BRN,80.0,0.834,416750
2014,100,BGR,632144585.0,0.807,7073572
2014,104,MMR,51388708.31,0.548,50681634
2014,108,BDI,2202511.0,0.419,10799785
2014,112,BLR,5289900.0,0.81,9448515
2014,116,KHM,4716.0,0.559,15396772
2014,120,CMR,747.0,0.553,22059893
2014,124,CAN,8604564959.0,0.925,35434066
2014,144,LKA,10295723.0,0.757,20778000
2014,152,CHL,18646795112.0,0.841,17864195
2014,156,CHN,350079192.0,0.732,1371860000
2014,170,COL,20900082.0,0.755,46565429
2014,178,COG,521163.63,0.609,4975880
2014,188,CRI,38085.0,0.79,4767119
2014,191,HRV,14468562.0,0.842,4201598
2014,203,CZE,38281907.0,0.889,10525347
2014,208,DNK,7899285.0,0.932,5643475
2014,214,DOM,90792725.97,0.728,10315528
2014,218,ECU,55753744.0,0.759,16035124
2014,222,SLV,1673439.62,0.663,6162955
2014,231,ETH,11397019.92,0.445,101115610
2014,233,EST,3964607.0,0.879,1314545
2014,242,FJI,8590017.0,0.715,917585
2014,246,FIN,221464297.0,0.928,5461512
2014,251,FRA,309498036.0,0.892,66312067
2014,258,PYF,10.0,,276387
2014,266,GAB,147827019.7,0.687,1978399
2014,268,GEO,250580898.5,0.793,3719414
2014,275,PSE,712292.0,0.698,4173398
2014,276,DEU,418218088.3,0.942,80982500
2014,288,GHA,145755007.8,0.582,28041592
2014,296,KIR,296.084,0.612,115326
2014,300,GRC,89466379.0,0.879,10892413
2014,320,GTM,846345956.0,0.64,15681725
2014,324,GIN,599290423.0,0.436,11472924
2014,328,GUY,123435912.0,0.682,754229
2014,340,HND,78360113.0,0.603,9063122
2014,344,HKG,45994587.0,0.932,7229500
2014,348,HUN,7974620.0,0.84,9833038
2014,352,ISL,6420.0,0.946,327386
2014,360,IDN,1918637694.0,0.69,258877399
2014,364,IRN,1287404222.0,0.783,81502045
2014,372,IRL,476850008.7,0.918,4657740
2014,376,ISR,2946000.0,0.899,8215700
2014,380,ITA,374835597.0,0.882,60320707
2014,384,CIV,30460793.78,0.499,24527395
2014,388,JAM,131848861.3,0.714,2793749
2014,392,JPN,146153730.0,0.91,127276000
2014,398,KAZ,2603412023.0,0.794,17816285
2014,400,JOR,554562.0,0.737,8791710
2014,410,KOR,154936119.0,0.906,50746659
2014,414,KWT,69022.0,0.816,3665876
2014,417,KGZ,41389302.0,0.686,5905848
2014,418,LAO,548154561.0,0.597,6703172
2014,422,LBN,163519.0,0.755,6346990
2014,426,LSO,3317.161,0.5,2080089
2014,428,LVA,3955842.247,0.85,1993782
2014,440,LTU,1834224.0,0.864,2937253
2014,442,LUX,9468888.0,0.927,556319
2014,450,MDG,96861621.59,0.497,24764348
2014,454,MWI,40058648.86,0.493,16621538
2014,458,MYS,739162404.0,0.787,30696137
2014,470,MLT,33401.0,0.881,433481
2014,478,MRT,1070778732.0,0.532,3848514
2014,480,MUS,504.0,0.788,1261208
2014,484,MEX,4382330658.0,0.765,119784261
2014,490,S19,126523402.0,,
2014,496,MNG,3222986985.0,0.735,2963113
2014,499,MNE,14918446.0,0.822,623744
2014,504,MAR,234766884.0,0.645,34204780
2014,508,MOZ,187161052.0,0.438,25788475
2014,512,OMN,709126526.6,0.818,4002439
2014,516,NAM,744523172.0,0.619,2312139
2014,524,NPL,81488.0,0.567,27672370
2014,528,NLD,1252454850.0,0.931,16865008
2014,533,ABW,2763.0,,106807
2014,540,NCL,266781754.0,,281224
2014,554,NZL,7412974.173,0.931,4516500
2014,558,NIC,193293.0,0.638,6066492
2014,562,NER,478187031.0,0.363,19215909
2014,566,NGA,26683156.0,0.513,185896915
2014,579,NOR,432411606.0,0.949,5137232
2014,585,PLW,30.0,0.777,17715
2014,586,PAK,102389465.0,0.519,214264647
2014,600,PRY,26004.0,0.731,6069811
2014,604,PER,10565429478.0,0.754,30115826
2014,608,PHL,2864172511.0,0.693,103767130
2014,616,POL,108380347.0,0.867,38011735
2014,620,PRT,573474077.0,0.847,10401062
2014,634,QAT,5151039.0,0.85,2151745
2014,642,ROU,77984116.0,0.811,19908979
2014,643,RUS,3300515070.0,0.818,144237223
2014,646,RWA,202499812.5,0.507,11364757
2014,682,SAU,131823923.0,0.836,28309273
2014,686,SEN,20269059.0,0.501,14152102
2014,688,SRB,72520545.0,0.787,7131787
2014,694,SLE,237271509.0,0.447,6876385
2014,699,IND,1356792878.0,0.611,1312277191
2014,702,SGP,59118563.19,0.932,5469724
2014,703,SVK,40204144.12,0.851,5418649
2014,704,VNM,169648026.0,0.693,91679578
2014,705,SVN,13622950.0,0.903,2061980
2014,710,ZAF,11838276113.0,0.714,55594838
2014,716,ZWE,368005514.6,0.539,14207359
2014,724,ESP,1857947579.0,0.884,46460733
2014,729,SDN,14676248.08,0.511,38823318
2014,740,SUR,38020.0,0.701,575373
2014,748,SWZ,34461374.8,0.56,1136299
2014,752,SWE,3344650349.0,0.935,9696110
2014,757,CHE,16699219.91,0.951,8188649
2014,764,THA,99498894.0,0.785,70216367
2014,768,TGO,2265522.63,0.502,7472450
2014,780,TTO,60201272.81,0.806,1345343
2014,784,ARE,33451113.68,0.853,8059440
2014,788,TUN,3197600.0,0.721,11274288
2014,792,TUR,1399033464.0,0.812,77181884
2014,800,UGA,4856005.0,0.518,36395539
2014,804,UKR,3472393210.0,0.774,45972380
2014,807,MKD,172678774.0,0.769,1917557
2014,818,EGY,17057712.0,0.688,97528654
2014,826,GBR,248394148.0,0.924,64620000
2014,834,TZA,713717575.0,0.506,50351512
2014,842,USA,8362919960.0,0.923,319257560
2014,854,BFA,13430062.54,0.403,18229461
2014,858,URY,1045842.0,0.805,3356334
2014,887,YEM,33292.0,0.485,30226309
2014,894,ZMB,57892302.88,0.557,15895315
2015,4,AFG,3279440.0,0.479,33831764
2015,8,ALB,93832342.0,0.797,2880703
2015,12,DZA,1735883.0,0.736,40019529
2015,20,AND,8962.149,0.856,72174
2015,24,AGO,725449.24,0.591,28157798
2015,31,AZE,6429833.61,0.751,9649341
2015,32,ARG,712988459.8,0.85,43477012
2015,36,AUS,47842539334.0,0.933,23815995
2015,40,AUT,32582287.0,0.91,8642699
2015,48,BHR,395252830.0,0.859,1370322
2015,50,BGD,7739060.0,0.604,159383179
2015,51,ARM,366394024.0,0.769,3004600
2015,52,BRB,88.0,0.798,278990
2015,56,BEL,215232708.2,0.924,11274196
2015,68,BOL,1685677374.0,0.688,11014705
2015,70,BIH,24308006.0,0.757,3518541
2015,72,BWA,53383097.12,0.688,2203273
2015,76,BRA,16654435225.0,0.752,201675532
2015,90,SLB,2699182.0,0.562,639415
2015,96,BRN,47130.0,0.832,422212
2015,100,BGR,534048118.0,0.809,6984225
2015,104,MMR,22794163.55,0.557,51089056
2015,108,BDI,1361074.0,0.42,11047580
2015,112,BLR,2639200.0,0.809,9461076
2015,116,KHM,29831.0,0.564,15623251
2015,120,CMR,7092.0,0.562,22763414
2015,124,CAN,6602104922.0,0.927,35704498
2015,144,LKA,13159856.0,0.76,20970000
2015,152,CHL,14912940072.0,0.846,18047625
2015,156,CHN,243859786.0,0.741,1379860000
2015,170,COL,27074307.0,0.758,46969940
2015,178,COG,574313.061,0.61,5097581
2015,180,COD,918216221.4,0.457,81035531
2015,188,CRI,29821.0,0.792,4818038
2015,191,HRV,15928208.0,0.844,4151725
2015,203,CZE,19941935.0,0.891,10546059
2015,208,DNK,5430794.0,0.936,5683483
2015,214,DOM,67803544.22,0.739,10434829
2015,218,ECU,2432001.0,0.764,16266225
2015,222,SLV,592523.15,0.663,6183676
2015,231,ETH,6487013.361,0.455,103867135
2015,233,EST,1844768.0,0.883,1315407
2015,242,FJI,2418326.387,0.716,918578
2015,246,FIN,144057252.0,0.93,5479531
2015,251,FRA,200028677.0,0.893,66548272
2015,266,GAB,155689161.9,0.692,2040989
2015,268,GEO,273763961.3,0.798,3725276
2015,275,PSE,112131.0,0.71,4270092
2015,276,DEU,368706496.2,0.941,81686611
2015,288,GHA,117445592.3,0.586,28696068
