year,country_code,country_code_letter,dollar_value,HDI_value,population
2013,724,ESP,1530950257.0,0.88,46604197
2013,729,SDN,6024402.0,0.503,37785849
2013,740,SUR,20086142.0,0.7,569020
2013,748,SWZ,61950731.77,0.546,1129990
2013,752,SWE,4424493312.0,0.932,9600379
2013,757,CHE,629854335.5,0.947,8089346
2013,764,THA,2180401587.0,0.754,69845114
2013,768,TGO,856357.378,0.495,7285442
2013,776,TON,19188.0,0.719,107078
2013,780,TTO,5048679.478,0.801,1340557
2013,784,ARE,256966018.3,0.847,7693031
2013,788,TUN,19285700.0,0.719,11141361
2013,792,TUR,715622690.0,0.802,76147624
2013,800,UGA,12824278.0,0.511,35337042
2013,804,UKR,1143721756.0,0.774,46126770
2013,807,MKD,6228104.0,0.763,1922716
2013,818,EGY,37499711.0,0.684,95333553
2013,826,GBR,554685191.0,0.923,64139000
2013,834,TZA,32583106.0,0.504,48824128
2013,842,USA,8963663754.0,0.922,316726282
2013,854,BFA,410926.586,0.399,17695409
2013,858,URY,527160130.0,0.802,3345337
2013,862,VEN,8061181.0,0.771,29912198
2013,882,WSM,20043.0,0.704,198268
2013,887,YEM,55387.0,0.496,29312952
2013,894,ZMB,12210382.55,0.554,15398997
2014,8,ALB,17571611.0,0.797,2889104
2014,12,DZA,55608.0,0.732,39205031
2014,20,AND,961352.581,0.854,73737
2014,24,AGO,4952382.0,0.565,27160769
2014,28,ATG,175717.0,0.815,88765
2014,31,AZE,1410918.0,0.749,9535079
2014,32,ARG,186936588.7,0.847,43024071
2014,36,AUS,1228224772.0,0.931,23475686
2014,40,AUT,4889201434.0,0.911,8546356
2014,44,BHS,408140.0,0.807,382298
2014,48,BHR,20294216.0,0.839,1314562
2014,51,ARM,743377.0,0.764,3013800
2014,52,BRB,206699.0,0.795,278348
2014,56,BEL,2242910281.0,0.922,11209057
2014,60,BMU,1527.0,,63529
2014,68,BOL,59021384.6,0.683,10848888
2014,70,BIH,429726817.0,0.751,3564829
2014,72,BWA,2650385.223,0.683,2172044
2014,76,BRA,2241986724.0,0.753,200085127
2014,84,BLZ,3823194.0,0.716,348923
2014,90,SLB,273585002.5,0.562,616908
2014,96,BRN,3150687.0,0.834,416750
2014,100,BGR,420475708.0,0.807,7073572
2014,104,MMR,408742186.5,0.548,50681634
2014,108,BDI,13307.0,0.419,10799785
2014,112,BLR,790816500.0,0.81,9448515
2014,116,KHM,111550187.0,0.559,15396772
2014,120,CMR,525064112.0,0.553,22059893
2014,124,CAN,12631396759.0,0.925,35434066
2014,140,CAF,17648100.0,0.354,4623182
2014,144,LKA,50758534.0,0.757,20778000
2014,152,CHL,2502914292.0,0.841,17864195
2014,156,CHN,14469961385.0,0.732,1371860000
2014,170,COL,54450212.0,0.755,46565429
2014,174,COM,14894.667,0.551,711503
2014,178,COG,113636605.6,0.609,4975880
2014,188,CRI,72414881.0,0.79,4767119
2014,191,HRV,842518269.0,0.842,4201598
2014,196,CYP,923971.117,0.867,1201801
2014,203,CZE,2250852006.0,0.889,10525347
2014,204,BEN,12633975.0,0.506,11030004
2014,208,DNK,901753358.0,0.932,5643475
2014,214,DOM,11412577.86,0.728,10315528
2014,218,ECU,288443273.0,0.759,16035124
2014,222,SLV,9067782.15,0.663,6162955
2014,231,ETH,941639.126,0.445,101115610
2014,233,EST,1472076723.0,0.879,1314545
2014,242,FJI,53515559.0,0.715,917585
2014,246,FIN,3268635688.0,0.928,5461512
2014,251,FRA,2914943700.0,0.892,66312067
2014,258,PYF,221149.0,,276387
2014,266,GAB,318298479.0,0.687,1978399
2014,268,GEO,21788768.04,0.793,3719414
2014,270,GMB,7551948.342,0.462,2164528
2014,275,PSE,30087996.0,0.698,4173398
2014,276,DEU,9149940447.0,0.942,80982500
2014,288,GHA,329421111.0,0.582,28041592
2014,296,KIR,478.429,0.612,115326
2014,300,GRC,77262330.0,0.879,10892413
2014,304,GRL,805.32,,56295
2014,308,GRD,32256.264,0.783,114132
2014,320,GTM,70246018.0,0.64,15681725
2014,324,GIN,4521483.0,0.436,11472924
2014,328,GUY,54298477.0,0.682,754229
2014,340,HND,53808708.0,0.603,9063122
2014,344,HKG,563841346.0,0.932,7229500
2014,348,HUN,812694093.0,0.84,9833038
2014,352,ISL,478437.0,0.946,327386
2014,360,IDN,4071121456.0,0.69,258877399
2014,364,IRN,27872085.74,0.783,81502045
2014,372,IRL,523238670.4,0.918,4657740
2014,376,ISR,9891000.0,0.899,8215700
2014,380,ITA,2077943784.0,0.882,60320707
2014,384,CIV,225547286.3,0.499,24527395
2014,388,JAM,1850782.878,0.714,2793749
2014,392,JPN,168409399.0,0.91,127276000
2014,398,KAZ,5498228.0,0.794,17816285
2014,400,JOR,25047311.0,0.737,8791710
2014,410,KOR,101537342.0,0.906,50746659
2014,414,KWT,7158287.0,0.816,3665876
2014,417,KGZ,229637.0,0.686,5905848
2014,418,LAO,130875491.0,0.597,6703172
2014,422,LBN,12875224.0,0.755,6346990
2014,426,LSO,286166.285,0.5,2080089
2014,428,LVA,2254935653.0,0.85,1993782
2014,440,LTU,1153080227.0,0.864,2937253
2014,442,LUX,269128458.0,0.927,556319
2014,446,MAC,991269.426,,621700
2014,450,MDG,7615492.781,0.497,24764348
2014,454,MWI,23761519.02,0.493,16621538
2014,458,MYS,4348477304.0,0.787,30696137
2014,470,MLT,579912.0,0.881,433481
2014,480,MUS,1360523.0,0.788,1261208
2014,484,MEX,397369817.0,0.765,119784261
2014,490,S19,202824682.0,,
2014,496,MNG,636009.0,0.735,2963113
2014,498,MDA,7545850.0,0.749,2857815
2014,499,MNE,31545697.0,0.822,623744
2014,500,MSR,2465.0,,
2014,504,MAR,18673644.0,0.645,34204780
2014,508,MOZ,123376820.0,0.438,25788475
2014,512,OMN,17725254.58,0.818,4002439
2014,516,NAM,34032450.0,0.619,2312139
2014,524,NPL,2060229.0,0.567,27672370
2014,528,NLD,1606322635.0,0.931,16865008
2014,533,ABW,77958.0,,106807
2014,540,NCL,479102.0,,281224
2014,554,NZL,3049020231.0,0.931,4516500
2014,558,NIC,20167376.0,0.638,6066492
2014,562,NER,5546.0,0.363,19215909
2014,566,NGA,89370754.0,0.513,185896915
2014,579,NOR,613663121.0,0.949,5137232
2014,585,PLW,246391.0,0.777,17715
2014,586,PAK,54366382.0,0.519,214264647
2014,591,PAN,59244455.0,0.797,3892101
2014,600,PRY,76527002.0,0.731,6069811
2014,604,PER,163160892.8,0.754,30115826
2014,608,PHL,3095973115.0,0.693,103767130
2014,616,POL,4206585873.0,0.867,38011735
2014,620,PRT,944527385.0,0.847,10401062
2014,634,QAT,4933649.0,0.85,2151745
2014,642,ROU,2486898260.0,0.811,19908979
2014,643,RUS,7763749276.0,0.818,144237223
2014,646,RWA,780903.717,0.507,11364757
2014,659,KNA,15170.0,0.827,47089
2014,662,LCA,277223.0,0.727,174138
2014,670,VCT,28219.753,0.772,107535
2014,678,STP,7291.0,0.584,196767
2014,682,SAU,42025086.0,0.836,28309273
2014,686,SEN,5363249.0,0.501,14152102
2014,688,SRB,272481311.0,0.787,7131787
2014,690,SYC,11420.907,0.796,91359
2014,694,SLE,5429.0,0.447,6876385
2014,699,IND,353811903.0,0.611,1312277191
2014,702,SGP,127967691.3,0.932,5469724
2014,703,SVK,945275891.6,0.851,5418649
2014,704,VNM,2115022698.0,0.693,91679578
2014,705,SVN,907582807.0,0.903,2061980
2014,710,ZAF,510265829.9,0.714,55594838
2014,716,ZWE,25234135.68,0.539,14207359
2014,724,ESP,1629561044.0,0.884,46460733
2014,729,SDN,398662.51,0.511,38823318
2014,740,SUR,26777706.0,0.701,575373
2014,748,SWZ,66800745.83,0.56,1136299
2014,752,SWE,4656966480.0,0.935,9696110
2014,757,CHE,652162767.1,0.951,8188649
2014,764,THA,2314154903.0,0.785,70216367
2014,768,TGO,979987.339,0.502,7472450
2014,776,TON,39356.0,0.721,106609
2014,780,TTO,4495342.916,0.806,1345343
2014,784,ARE,256895605.6,0.853,8059440
2014,788,TUN,18037840.0,0.721,11274288
2014,792,TUR,839069811.0,0.812,77181884
2014,800,UGA,16941594.0,0.518,36395539
2014,804,UKR,1261956161.0,0.774,45972380
2014,807,MKD,6997704.0,0.769,1917557
2014,818,EGY,67103021.0,0.688,97528654
2014,826,GBR,606940477.0,0.924,64620000
2014,834,TZA,33798051.0,0.506,50351512
2014,842,USA,9745328351.0,0.923,319257560
2014,854,BFA,33286.068,0.403,18229461
2014,858,URY,668162212.0,0.805,3356334
2014,882,WSM,49911.0,0.707,200037
2014,887,YEM,99356.0,0.485,30226309
2014,894,ZMB,9621631.182,0.557,15895315
2015,8,ALB,19988663.0,0.797,2880703
2015,12,DZA,54126.0,0.736,40019529
2015,20,AND,832293.054,0.856,72174
2015,24,AGO,13358177.91,0.591,28157798
2015,28,ATG,268030.0,0.818,89409
2015,31,AZE,919418.74,0.751,9649341
2015,32,ARG,133399573.5,0.85,43477012
2015,36,AUS,1246444333.0,0.933,23815995
2015,40,AUT,4228428566.0,0.91,8642699
2015,44,BHS,227110.0,0.807,385346
2015,48,BHR,32493217.7,0.859,1370322
2015,50,BGD,4056411.0,0.604,159383179
2015,51,ARM,1260720.0,0.769,3004600
2015,52,BRB,244567.0,0.798,278990
2015,56,BEL,1960552366.0,0.924,11274196
2015,60,BMU,4863.0,,63464
2015,68,BOL,52159506.92,0.688,11014705
2015,70,BIH,372795295.0,0.757,3518541
2015,72,BWA,2012730.653,0.688,2203273
2015,76,BRA,2270474027.0,0.752,201675532
2015,84,BLZ,4962633.0,0.714,356333
2015,90,SLB,288069016.0,0.562,639415
2015,96,BRN,2489170.0,0.832,422212
2015,100,BGR,352819815.0,0.809,6984225
2015,104,MMR,182869856.8,0.557,51089056
2015,108,BDI,211645.0,0.42,11047580
2015,112,BLR,695388600.0,0.809,9461076
2015,116,KHM,15812870.0,0.564,15623251
2015,120,CMR,492382663.0,0.562,22763414
2015,124,CAN,11682610459.0,0.927,35704498
2015,132,CPV,4827.595,0.658,512394
2015,140,CAF,18506574.0,0.367,4629320
2015,144,LKA,41995978.0,0.76,20970000
2015,152,CHL,2254846299.0,0.846,18047625
2015,156,CHN,14199341609.0,0.741,1379860000
2015,170,COL,43578413.0,0.758,46969940
2015,178,COG,100142454.7,0.61,5097581
2015,180,COD,34222368.78,0.457,81035531
2015,188,CRI,71348954.0,0.792,4818038
2015,191,HRV,758093795.0,0.844,4151725
2015,196,CYP,374901.114,0.874,1219502
2015,203,CZE,1891180328.0,0.891,10546059
2015,204,BEN,12290618.81,0.509,11360681
2015,208,DNK,759094180.0,0.936,5683483
2015,214,DOM,12204759.06,0.739,10434829
2015,218,ECU,320777482.0,0.764,16266225
2015,222,SLV,7110375.03,0.663,6183676
2015,231,ETH,221161.464,0.455,103867135
2015,233,EST,1269908805.0,0.883,1315407
2015,242,FJI,45054993.35,0.716,918578
2015,246,FIN,2745099180.0,0.93,5479531
2015,251,FRA,2589568866.0,0.893,66548272
2015,258,PYF,167819.0,,277866
2015,266,GAB,317275308.3,0.692,2040989
2015,268,GEO,18182344.52,0.798,3725276
2015,270,GMB,3169496.767,0.467,2224529
2015,275,PSE,28773343.0,0.71,4270092
2015,276,DEU,7866431559.0,0.941,81686611
2015,288,GHA,274914462.9,0.586,28696068
2015,296,KIR,73.003,0.625,116815
2015,300,GRC,58891490.0,0.881,10820883
2015,304,GRL,1972.96,,56114
2015,308,GRD,1398.887,0.786,114676
2015,320,GTM,81973980.0,0.629,15971743
2015,324,GIN,2291866.0,0.449,11767070
2015,328,GUY,46569885.49,0.686,758781
2015,340,HND,57555522.0,0.61,9237305
2015,344,HKG,347306678.9,0.936,7291300
2015,348,HUN,691965086.0,0.839,9797755
2015,352,ISL,342783.0,0.948,330815
2015,360,IDN,4005755182.0,0.698,261799249
2015,364,IRN,22204506.0,0.782,82619362
2015,372,IRL,437056499.5,0.924,4701957
2015,376,ISR,7313000.0,0.899,8380100
2015,380,ITA,1818971444.0,0.881,60229605
2015,384,CIV,176419867.9,0.501,25246342
2015,388,JAM,1104334.0,0.712,2802534
2015,392,JPN,189443506.0,0.913,127141000
2015,398,KAZ,1615482.0,0.799,18084169
2015,400,JOR,13120151.0,0.738,9544729
2015,404,KEN,7681212.25,0.575,47088526
2015,410,KOR,89969481.0,0.908,51014947
2015,414,KWT,6022670.857,0.829,3834574
2015,417,KGZ,104945.0,0.689,6040036
