year,country_code,country_code_letter,HDI_value,dollar_per_capita,cluster
2013,96,Brunei Darussalam,0.835,26870.93,0
2013,48,Bahrain,0.839,8121.1,0
2013,414,Kuwait,0.813,30788.14,0
2013,512,Oman,0.814,10820.48,0
2013,682,Saudi Arabia,0.831,11656.53,0
2013,784,United Arab Emirates,0.847,17028.4,0
2014,48,Bahrain,0.839,11394.55,0
2014,96,Brunei Darussalam,0.834,23335.0,0
2014,414,Kuwait,0.816,25785.54,0
2014,512,Oman,0.818,9632.86,0
2014,682,Saudi Arabia,0.836,10067.37,0
2014,784,United Arab Emirates,0.853,12780.04,0
2015,96,Brunei Darussalam,0.832,13989.83,0
2015,414,Kuwait,0.829,12643.81,0
2015,634,Qatar,0.852,27507.31,0
2016,96,Brunei Darussalam,0.83,10020.23,0
2016,414,Kuwait,0.832,10352.23,0
2016,634,Qatar,0.853,18868.44,0
2017,96,Brunei Darussalam,0.829,11528.97,0
2017,414,Kuwait,0.835,11932.87,0
2017,634,Qatar,0.862,22320.92,0
2018,96,Brunei Darussalam,0.826,13663.28,0
2018,414,Kuwait,0.836,15124.58,0
2018,634,Qatar,0.866,28336.14,0
2019,96,Brunei Darussalam,0.827,14484.66,0
2019,414,Kuwait,0.838,13211.52,0
2019,634,Qatar,0.869,23724.86,0
2020,96,Brunei Darussalam,0.827,12039.49,0
2020,414,Kuwait,0.826,8146.67,0
2020,634,Qatar,0.863,15080.78,0
